grams,yardage,yarn_weight_wpi,ratio
100.0,252.0,8,2.52
100.0,320.0,11,3.2
100.0,383.0,14,3.83
80.0,135.0,7,1.6875
100.0,252.0,11,2.52
100.0,327.0,11,3.27
114.0,420.0,14,3.6842105263157894
60.0,262.0,14,4.366666666666666
50.0,137.0,11,2.74
50.0,148.0,12,2.96
115.0,400.0,14,3.4782608695652173
100.0,250.0,9,2.5
50.0,200.0,14,4.0
113.0,250.0,11,2.2123893805309733
50.0,110.0,11,2.2
50.0,164.0,14,3.28
60.0,105.0,8,1.75
170.0,490.0,11,2.8823529411764706
50.0,82.0,8,1.64
100.0,219.0,11,2.19
115.0,280.0,11,2.4347826086956523
100.0,437.0,12,4.37
100.0,128.0,7,1.28
50.0,109.0,11,2.18
113.0,241.0,9,2.1327433628318584
130.0,437.0,12,3.3615384615384616
400.0,722.0,8,1.805
200.0,437.0,11,2.185
50.0,137.0,9,2.74
50.0,219.0,14,4.38
125.0,423.0,12,3.384
50.0,229.0,14,4.58
50.0,137.0,12,2.74
100.0,295.0,11,2.95
100.0,437.0,14,4.37
25.0,109.0,14,4.36
50.0,225.0,14,4.5
50.0,124.0,9,2.48
50.0,82.0,8,1.64
50.0,174.0,11,3.48
100.0,423.0,14,4.23
50.0,116.0,11,2.32
85.0,194.0,12,2.2823529411764705
50.0,110.0,9,2.2
100.0,142.0,9,1.42
100.0,400.0,14,4.0
100.0,220.0,8,2.2
100.0,240.0,9,2.4
100.0,270.0,11,2.7
100.0,400.0,14,4.0
100.0,190.0,9,1.9
100.0,340.0,11,3.4
50.0,112.0,12,2.24
50.0,218.0,14,4.36
115.0,414.0,14,3.6
25.0,120.0,14,4.8
100.0,167.0,7,1.67
50.0,246.0,12,4.92
50.0,126.0,11,2.52
100.0,180.0,8,1.8
85.0,186.0,8,2.1882352941176473
50.0,165.0,11,3.3
100.0,201.0,8,2.01
100.0,459.0,14,4.59
50.0,224.0,14,4.48
100.0,220.0,9,2.2
100.0,383.0,14,3.83
100.0,175.0,8,1.75
50.0,164.0,11,3.28
200.0,283.0,7,1.415
50.0,182.0,12,3.64
50.0,102.0,9,2.04
114.0,280.0,11,2.456140350877193
100.0,180.0,8,1.8
50.0,150.0,11,3.0
340.0,608.0,9,1.7882352941176471
100.0,459.0,14,4.59
50.0,109.0,8,2.18
100.0,240.0,8,2.4
100.0,220.0,11,2.2
100.0,191.0,8,1.91
50.0,131.0,11,2.62
100.0,284.0,12,2.84
100.0,218.0,9,2.18
50.0,191.0,14,3.82
50.0,230.0,14,4.6
100.0,231.0,8,2.31
100.0,137.0,7,1.37
100.0,435.0,14,4.35
50.0,98.0,9,1.96
100.0,258.0,12,2.58
100.0,459.0,14,4.59
100.0,437.0,14,4.37
100.0,437.0,14,4.37
28.0,118.0,14,4.214285714285714
100.0,262.0,11,2.62
25.0,93.0,14,3.72
100.0,427.0,14,4.27
50.0,230.0,14,4.6
100.0,328.0,11,3.28
50.0,110.0,11,2.2
85.0,153.0,8,1.8
100.0,293.0,11,2.93
100.0,191.0,8,1.91
50.0,220.0,14,4.4
100.0,127.0,7,1.27
50.0,131.0,11,2.62
100.0,459.0,14,4.59
50.0,117.0,11,2.34
50.0,142.0,11,2.84
106.0,420.0,14,3.9622641509433962
50.0,137.0,12,2.74
100.0,440.0,14,4.4
100.0,246.0,11,2.46
50.0,142.0,11,2.84
100.0,210.0,9,2.1
50.0,191.0,12,3.82
100.0,218.0,8,2.18
50.0,219.0,14,4.38
200.0,875.0,12,4.375
115.0,400.0,14,3.4782608695652173
85.0,135.0,7,1.588235294117647
100.0,400.0,14,4.0
50.0,125.0,11,2.5
100.0,219.0,8,2.19
50.0,109.0,8,2.18
50.0,230.0,14,4.6
50.0,130.0,11,2.6
100.0,225.0,12,2.25
50.0,147.0,9,2.94
100.0,328.0,12,3.28
50.0,115.0,11,2.3
100.0,220.0,9,2.2
100.0,400.0,14,4.0
150.0,389.0,9,2.5933333333333333
50.0,218.0,14,4.36
142.0,251.0,8,1.767605633802817
100.0,437.0,14,4.37
50.0,137.0,11,2.74
113.0,395.0,12,3.495575221238938
50.0,96.0,8,1.92
100.0,380.0,14,3.8
50.0,164.0,12,3.28
100.0,437.0,14,4.37
50.0,197.0,14,3.94
100.0,438.0,14,4.38
50.0,191.0,11,3.82
85.0,190.0,8,2.235294117647059
100.0,178.0,8,1.78
100.0,380.0,12,3.8
50.0,132.0,11,2.64
283.0,515.0,8,1.8197879858657244
50.0,145.0,11,2.9
50.0,155.0,11,3.1
100.0,400.0,14,4.0
50.0,109.0,11,2.18
57.0,180.0,11,3.1578947368421053
50.0,201.0,14,4.02
200.0,414.0,9,2.07
100.0,437.0,14,4.37
50.0,159.0,12,3.18
100.0,197.0,8,1.97
100.0,437.0,14,4.37
50.0,230.0,14,4.6
50.0,137.0,12,2.74
50.0,85.0,8,1.7
100.0,230.0,9,2.3
100.0,295.0,8,2.95
50.0,197.0,12,3.94
50.0,82.0,8,1.64
100.0,448.0,14,4.48
100.0,350.0,14,3.5
50.0,104.0,11,2.08
100.0,394.0,14,3.94
100.0,180.0,8,1.8
113.0,140.0,7,1.238938053097345
50.0,186.0,11,3.72
100.0,33.0,8,0.33
50.0,284.0,12,5.68
100.0,437.0,14,4.37
150.0,481.0,8,3.2066666666666666
100.0,240.0,9,2.4
50.0,197.0,14,3.94
100.0,241.0,11,2.41
50.0,136.0,11,2.72
100.0,450.0,14,4.5
50.0,122.0,11,2.44
50.0,230.0,14,4.6
50.0,186.0,14,3.72
100.0,400.0,14,4.0
100.0,200.0,9,2.0
50.0,55.0,7,1.1
100.0,439.0,14,4.39
40.0,84.0,8,2.1
50.0,85.0,9,1.7
100.0,105.0,7,1.05
100.0,435.0,14,4.35
100.0,218.0,8,2.18
100.0,173.0,8,1.73
50.0,103.0,11,2.06
100.0,370.0,14,3.7
100.0,137.0,7,1.37
50.0,110.0,11,2.2
50.0,109.0,11,2.18
100.0,254.0,11,2.54
50.0,148.0,11,2.96
50.0,88.0,8,1.76
100.0,218.0,9,2.18
50.0,61.0,8,1.22
50.0,150.0,12,3.0
50.0,218.0,11,4.36
100.0,400.0,14,4.0
100.0,252.0,8,2.52
50.0,198.0,11,3.96
57.0,140.0,8,2.456140350877193
50.0,109.0,9,2.18
50.0,137.0,12,2.74
50.0,218.0,11,4.36
100.0,270.0,8,2.7
50.0,136.0,11,2.72
100.0,232.0,11,2.32
200.0,1100.0,14,5.5
70.0,134.0,9,1.9142857142857144
100.0,380.0,14,3.8
50.0,93.0,8,1.86
50.0,120.0,11,2.4
113.0,184.0,8,1.6283185840707965
100.0,438.0,14,4.38
50.0,90.0,9,1.8
50.0,109.0,11,2.18
150.0,600.0,14,4.0
113.0,400.0,14,3.5398230088495577
115.0,420.0,14,3.652173913043478
150.0,459.0,12,3.06
50.0,196.0,14,3.92
100.0,220.0,8,2.2
80.0,160.0,8,2.0
100.0,400.0,14,4.0
100.0,241.0,9,2.41
130.0,370.0,12,2.8461538461538463
100.0,462.0,14,4.62
100.0,120.0,7,1.2
50.0,131.0,12,2.62
50.0,120.0,8,2.4
50.0,147.0,9,2.94
50.0,150.0,9,3.0
10.0,28.0,12,2.8
142.0,195.0,7,1.3732394366197183
115.0,250.0,9,2.1739130434782608
50.0,135.0,11,2.7
400.0,920.0,8,2.3
100.0,459.0,14,4.59
100.0,400.0,14,4.0
140.0,383.0,11,2.7357142857142858
100.0,240.0,8,2.4
50.0,137.0,11,2.74
113.0,232.0,8,2.0530973451327434
100.0,295.0,14,2.95
100.0,202.0,8,2.02
100.0,317.0,12,3.17
100.0,430.0,14,4.3
100.0,186.0,8,1.86
80.0,128.0,7,1.6
100.0,437.0,14,4.37
50.0,123.0,11,2.46
50.0,219.0,11,4.38
50.0,109.0,8,2.18
